Price,Area,Age,Tenure,Purchaser,Region
3.00E+06,1420.85,1,Leasehold,HDB,Bishan
1910000,904.18,1,Leasehold,Private,Bishan
1380000,645.84,1,Leasehold,HDB,Bishan
1025000,527.44,1,Leasehold,Private,Bishan
1170000,527.44,1,Leasehold,HDB,Bishan
1745000,764.24,1,Leasehold,HDB,Bishan
1635000,764.24,1,Leasehold,Private,Bishan
1050000,527.44,1,Leasehold,Private,Bishan
3248000,1420.85,1,Leasehold,Private,Bishan
1600000,807.3,7,Leasehold,HDB,Bishan
1648888,796.54,7,Leasehold,HDB,Bishan
1378000,678.13,7,Leasehold,Private,Bishan
1400000,678.13,7,Leasehold,Private,Bishan
1500000,947.23,8,Leasehold,Private,Bishan
1245000,710.42,8,Leasehold,Private,Bishan
1280000,710.42,8,Leasehold,Private,Bishan
2500000,1506.96,8,Leasehold,HDB,Bishan
2450000,1829.88,12,Leasehold,Private,Bishan
2738000,1733,12,Leasehold,HDB,Bishan
2360000,1291.68,12,Leasehold,Private,Bishan
2200000,1248.62,12,Leasehold,Private,Bishan
1200000,882.65,19,Leasehold,Private,Bishan
1250000,882.65,19,Leasehold,Private,Bishan
2035000,1205.57,19,Leasehold,Private,Bishan
1700000,1194.8,20,Leasehold,Private,Bishan
1370000,914.94,20,Leasehold,HDB,Bishan
1148000,968.76,23,Leasehold,Private,Bishan
2600000,1442.38,27,Freehold,Private,Bishan
1670000,1323.97,29,Leasehold,HDB,Bishan
1700000,1323.97,29,Leasehold,Private,Bishan
1680000,1270.15,29,Leasehold,Private,Bishan
1400000,871.88,31,Freehold,Private,Bishan
2600000,1593.07,34,Freehold,HDB,Bishan
3410000,2454.19,35,Freehold,Private,Bishan
2820000,1711.48,39,Freehold,Private,Bishan
1750000,807.3,5,Leasehold,Private,Bukit Merah
1750000,807.3,5,Leasehold,HDB,Bukit Merah
950000,495.14,5,Leasehold,HDB,Bukit Merah
945000,484.38,5,Leasehold,HDB,Bukit Merah
948000,484.38,5,Leasehold,HDB,Bukit Merah
1785000,807.3,5,Leasehold,HDB,Bukit Merah
970000,505.91,5,Leasehold,HDB,Bukit Merah
2790000,1237.86,5,Leasehold,HDB,Bukit Merah
2250000,1173.28,6,Leasehold,Private,Bukit Merah
1785000,861.12,6,Leasehold,Private,Bukit Merah
2750000,1474.67,7,Leasehold,HDB,Bukit Merah
1600000,731.95,7,Leasehold,Private,Bukit Merah
1900000,861.12,7,Leasehold,Private,Bukit Merah
2700000,1291.68,8,Freehold,Private,Bukit Merah
2750000,1291.68,8,Freehold,HDB,Bukit Merah
990000,538.2,9,Freehold,Private,Bukit Merah
1430000,861.12,9,Freehold,Private,Bukit Merah
1418000,861.12,9,Freehold,Private,Bukit Merah
2435000,1614.6,10,Leasehold,Private,Bukit Merah
2588888,1453.14,10,Leasehold,HDB,Bukit Merah
1600000,1054.87,10,Leasehold,Private,Bukit Merah
1600000,1044.11,10,Leasehold,Private,Bukit Merah
1700000,947.23,10,Leasehold,Private,Bukit Merah
2500000,1474.67,10,Leasehold,Private,Bukit Merah
1750000,947.23,10,Leasehold,Private,Bukit Merah
2930000,1420.85,12,Leasehold,Private,Bukit Merah
2950000,1797.59,12,Leasehold,Private,Bukit Merah
3280000,1625.36,12,Leasehold,Private,Bukit Merah
2500000,1140.98,12,Leasehold,Private,Bukit Merah
3008888,1614.6,12,Leasehold,Private,Bukit Merah
1720000,1011.82,12,Leasehold,Private,Bukit Merah
1630000,839.59,12,Leasehold,HDB,Bukit Merah
2280000,1323.97,12,Leasehold,HDB,Bukit Merah
1830000,893.41,12,Leasehold,Private,Bukit Merah
2850000,1280.92,13,Freehold,HDB,Bukit Merah
2180000,958,13,Freehold,HDB,Bukit Merah
3088000,1280.92,13,Freehold,Private,Bukit Merah
2900000,1743.77,14,Leasehold,Private,Bukit Merah
1670000,1173.28,18,Leasehold,Private,Bukit Merah
1632888,1173.28,18,Leasehold,HDB,Bukit Merah
1588000,893.41,19,Leasehold,Private,Bukit Merah
2315000,1280.92,19,Leasehold,Private,Bukit Merah
2508600,1356.26,19,Leasehold,Private,Bukit Merah
2025000,1345.5,22,Leasehold,Private,Bukit Merah
2030000,1248.62,22,Leasehold,Private,Bukit Merah
2.00E+06,1291.68,28,Leasehold,Private,Bukit Merah
1500000,947.23,30,Leasehold,Private,Bukit Merah
1610000,753.48,0,Leasehold,Private,Bukit Timah
1065000,516.67,0,Leasehold,Private,Bukit Timah
2910000,1248.62,0,Leasehold,Private,Bukit Timah
1190000,592.02,0,Leasehold,Private,Bukit Timah
1670000,764.24,0,Leasehold,Private,Bukit Timah
2235000,1054.87,1,Leasehold,Private,Bukit Timah
2510000,1044.11,1,Leasehold,Private,Bukit Timah
1150000,516.67,1,Leasehold,Private,Bukit Timah
2260000,818.06,2,Freehold,HDB,Bukit Timah
1963000,710.42,2,Freehold,Private,Bukit Timah
2021350,710.42,2,Freehold,HDB,Bukit Timah
1992000,721.19,2,Freehold,Private,Bukit Timah
898000,473.62,6,Freehold,Private,Bukit Timah
1338000,753.48,6,Freehold,Private,Bukit Timah
1250000,656.6,6,Freehold,Private,Bukit Timah
6200000,2131.27,8,Freehold,Private,Bukit Timah
1150000,635.08,9,Leasehold,Private,Bukit Timah
1180000,635.08,9,Leasehold,Private,Bukit Timah
1860000,1076.4,9,Leasehold,Private,Bukit Timah
2280000,1345.5,9,Leasehold,Private,Bukit Timah
1050000,592.02,9,Leasehold,Private,Bukit Timah
2650000,1399.32,9,Leasehold,Private,Bukit Timah
1350000,635.08,9,Leasehold,Private,Bukit Timah
3260000,1614.6,9,Leasehold,Private,Bukit Timah
1980000,1076.4,9,Leasehold,Private,Bukit Timah
2300000,1227.1,9,Leasehold,HDB,Bukit Timah
3880000,2012.87,9,Leasehold,Private,Bukit Timah
1280000,635.08,9,Leasehold,HDB,Bukit Timah
2968000,1420.85,9,Leasehold,HDB,Bukit Timah
3365000,1679.18,9,Leasehold,Private,Bukit Timah
2500000,1194.8,11,Freehold,Private,Bukit Timah
5900000,2787.88,11,Freehold,Private,Bukit Timah
3790000,1894.46,11,Freehold,Private,Bukit Timah
3200000,1506.96,11,Freehold,HDB,Bukit Timah
2020000,1108.69,15,Freehold,HDB,Bukit Timah
1680000,1140.98,15,Freehold,Private,Bukit Timah
2530000,1011.82,16,Freehold,Private,Bukit Timah
3750000,1603.84,16,Freehold,Private,Bukit Timah
2749000,1367.03,18,Freehold,Private,Bukit Timah
3180000,1399.32,18,Freehold,Private,Bukit Timah
3780000,1754.53,18,Freehold,Private,Bukit Timah
2900000,1323.97,20,Freehold,HDB,Bukit Timah
2900000,1334.74,20,Freehold,Private,Bukit Timah
1600000,1205.57,24,Leasehold,Private,Bukit Timah
1320000,1001.05,24,Leasehold,HDB,Bukit Timah
1950000,1356.26,24,Freehold,Private,Bukit Timah
3250000,1571.54,24,Freehold,Private,Bukit Timah
2480000,1367.03,25,Leasehold,Private,Bukit Timah
1808000,1087.16,25,Leasehold,Private,Bukit Timah
2935000,1840.64,25,Leasehold,Private,Bukit Timah
2755000,1323.97,25,Freehold,Private,Bukit Timah
3140000,1431.61,25,Freehold,Private,Bukit Timah
2500000,1399.32,25,Freehold,Private,Bukit Timah
1610000,1033.34,25,Freehold,Private,Bukit Timah
1578000,1087.16,25,Freehold,HDB,Bukit Timah
