Price,Area,Age,Tenure,Purchaser,Region
1900000.0,1184.04,17,Leasehold,Private,Southern Islands
3130000.0,1345.5,28,Freehold,HDB,Others
1850000.0,839.59,3,Leasehold,HDB,Queenstown
1820000.0,1237.86,25,Freehold,Private,Bukit Timah
3635000.0,1420.85,12,Freehold,Private,River Valley
2250000.0,1280.92,22,Leasehold,Private,Novena
818000.0,473.62,8,Freehold,HDB,Geylang
2840000.0,1550.02,15,Freehold,Private,Kallang
1880000.0,904.18,1,Leasehold,Private,Bishan
1860000.0,1194.8,20,Leasehold,Private,Bishan
1700000.0,893.41,16,Leasehold,Private,Kallang
1650000.0,1151.75,19,Leasehold,Private,Bukit Timah
3180000.0,1668.42,27,Leasehold,Private,Tanglin
2500000.0,1291.68,13,Leasehold,Private,Geylang
2500000.0,1334.74,15,Leasehold,Private,Southern Islands
2420000.0,1227.1,15,Freehold,Private,Bukit Timah
1430000.0,968.76,23,Leasehold,Private,Queenstown
1380000.0,828.83,20,Leasehold,HDB,Kallang
1100000.0,581.26,12,Leasehold,HDB,Novena
7190000.0,2680.24,7,Leasehold,Private,Bukit Merah
1600000.0,861.12,17,Leasehold,HDB,Bukit Timah
848888.0,419.8,4,Leasehold,Private,Kallang
3730000.0,3089.27,45,Freehold,Private,Bukit Timah
1428000.0,785.77,19,Freehold,Private,Tanglin
984000.0,462.85,2,Leasehold,HDB,Toa Payoh
4180000.0,2411.14,31,Freehold,Private,Kallang
3850000.0,1700.71,26,Freehold,Private,Tanglin
920000.0,570.49,7,Leasehold,HDB,Toa Payoh
2250000.0,1151.75,10,Leasehold,Private,Geylang
1730000.0,1011.82,8,Leasehold,Private,Bishan
928888.0,462.85,6,Leasehold,Private,Queenstown
1800000.0,1227.1,27,Leasehold,Private,Bukit Timah
2280000.0,1420.85,25,Freehold,Private,Bukit Timah
1988000.0,904.18,1,Leasehold,Private,Bishan
6950000.0,1743.77,9,Freehold,Private,Newton
6428888.0,2927.81,14,Freehold,Private,Tanglin
3450000.0,1420.85,15,Freehold,Private,Novena
1315000.0,656.6,19,Leasehold,Private,Novena
1250000.0,624.31,7,Leasehold,Private,Tanglin
1870000.0,1044.11,7,Leasehold,HDB,Toa Payoh
2150000.0,1205.57,9,Leasehold,HDB,Bukit Timah
1380000.0,602.78,10,Freehold,Private,Bukit Merah
1500000.0,818.06,24,Leasehold,HDB,Others
1400000.0,958.0,6,Leasehold,HDB,Geylang
1420000.0,807.3,10,Leasehold,Private,Bukit Merah
2070000.0,1323.97,20,Leasehold,HDB,Bishan
2350000.0,1388.56,27,Leasehold,Private,Tanglin
2250000.0,1367.03,16,Leasehold,HDB,Rochor
1230000.0,678.13,4,Leasehold,HDB,Toa Payoh
1600000.0,807.3,3,Leasehold,Private,Queenstown
2300000.0,1065.64,13,Freehold,Private,Marine Parade
17000000.0,6835.14,12,Leasehold,Private,Bukit Merah
888000.0,613.55,6,Leasehold,Private,Geylang
1933308.0,1506.96,29,Leasehold,HDB,Bishan
2168000.0,1001.05,3,Leasehold,Private,Queenstown
2900000.0,1453.14,13,Freehold,Private,Marine Parade
2870000.0,1872.94,10,Leasehold,Private,Bukit Merah
2830000.0,1442.38,18,Freehold,HDB,Bukit Timah
7080000.0,2195.86,14,Freehold,Private,Newton
3690000.0,1754.53,26,Freehold,Private,Tanglin
1160000.0,645.84,9,Leasehold,Private,Bukit Timah
1010000.0,548.96,7,Leasehold,HDB,Tanglin
3300000.0,1506.96,17,Freehold,Private,Bukit Timah
950000.0,484.38,7,Leasehold,HDB,Bishan
1610000.0,1184.04,18,Leasehold,Private,Bishan
3160000.0,1517.72,23,Freehold,Private,Bukit Timah
2750400.0,1539.25,19,Leasehold,Private,Marine Parade
1600000.0,764.24,5,Leasehold,Private,Bukit Merah
1355000.0,742.72,1,Leasehold,HDB,Toa Payoh
980000.0,505.91,5,Leasehold,HDB,Bukit Merah
895000.0,430.56,9,Freehold,HDB,Bukit Merah
2350000.0,1205.57,9,Leasehold,HDB,Bukit Timah
1630000.0,958.0,8,Leasehold,HDB,Bishan
5717000.0,2508.01,10,Leasehold,Private,Southern Islands
1460000.0,775.01,9,Leasehold,HDB,Bukit Timah
1700000.0,893.41,7,Leasehold,Private,Tanglin
4625000.0,2325.02,38,Freehold,Private,Tanglin
1860000.0,1108.69,19,Leasehold,Private,Marine Parade
2700000.0,1194.8,5,Leasehold,Private,Bukit Merah
4910000.0,2626.42,26,Leasehold,Private,Kallang
2080000.0,1216.33,12,Leasehold,HDB,Bishan
1590000.0,753.48,6,Leasehold,HDB,Queenstown
5650000.0,1926.76,13,Freehold,Private,Tanglin
1138000.0,570.49,0,Leasehold,HDB,Bukit Timah
2180000.0,1054.87,4,Leasehold,Private,Toa Payoh
1020000.0,495.14,3,Leasehold,HDB,Queenstown
988000.0,462.85,6,Leasehold,Private,Queenstown
3580000.0,1420.85,12,Freehold,Private,River Valley
1840000.0,1044.11,7,Leasehold,HDB,Toa Payoh
1150000.0,645.84,1,Leasehold,Private,Toa Payoh
1370000.0,592.02,7,Freehold,Private,Tanglin
6300000.0,2443.43,13,Freehold,Private,Marine Parade
1485000.0,839.59,7,Freehold,Private,Queenstown
2230000.0,1313.21,13,Leasehold,Private,Geylang
3600000.0,1474.67,38,Freehold,Private,River Valley
2380000.0,1033.34,16,Freehold,Private,Novena
3490000.0,1743.77,25,Freehold,Private,Marine Parade
4250000.0,1948.28,38,Freehold,Private,Tanglin
2668000.0,2228.15,26,Leasehold,Private,Queenstown
1225000.0,635.08,9,Leasehold,HDB,Bukit Timah
1400000.0,947.23,14,Freehold,HDB,Toa Payoh
1250000.0,925.7,27,Leasehold,Private,Bukit Timah
2880000.0,1356.26,20,Freehold,HDB,Bukit Timah
2100000.0,1485.43,18,Leasehold,HDB,Bishan
1500000.0,871.88,22,Leasehold,Private,Bukit Merah
2810000.0,1603.84,10,Leasehold,Private,Others
1660000.0,1270.15,27,Freehold,Private,Bukit Timah
2600000.0,1291.68,9,Leasehold,Private,Marine Parade
938000.0,462.85,2,Leasehold,Private,Toa Payoh
1500000.0,678.13,2,Leasehold,Private,Toa Payoh
1800000.0,1022.58,8,Leasehold,HDB,Bishan
1380000.0,936.47,16,Leasehold,Private,Rochor
1950000.0,936.47,3,Leasehold,HDB,Queenstown
2320000.0,990.29,11,Freehold,Private,Bukit Timah
2450000.0,1399.32,8,Leasehold,Private,Bishan
1850000.0,1001.05,6,Freehold,HDB,Bukit Timah
1060000.0,484.38,8,Freehold,HDB,Bukit Merah
1720000.0,1108.69,19,Leasehold,Private,Marine Parade
3250000.0,1582.31,25,Freehold,Private,River Valley
3100000.0,1733.0,22,Leasehold,Private,Novena
5534200.0,2508.01,10,Leasehold,Private,Southern Islands
2528000.0,1227.1,30,Freehold,Private,Marine Parade
1385000.0,688.9,6,Leasehold,Private,Queenstown
1939000.0,721.19,2,Freehold,HDB,Bukit Timah
2845000.0,1733.0,14,Leasehold,Private,Bukit Merah
2063000.0,1108.69,1,Leasehold,Private,Toa Payoh
5655300.0,2508.01,10,Leasehold,Private,Southern Islands
1960000.0,1022.58,0,Leasehold,Private,Bukit Timah
945000.0,495.14,5,Leasehold,HDB,Bukit Merah
1700000.0,807.3,5,Leasehold,HDB,Bukit Merah
1750000.0,818.06,7,Freehold,Private,Kallang
1518000.0,958.0,7,Leasehold,Private,Toa Payoh
2215000.0,1227.1,19,Leasehold,Private,Kallang
2300000.0,1130.22,13,Leasehold,HDB,Others
22000000.0,6081.66,11,Freehold,Private,Tanglin
1510000.0,1173.28,22,Leasehold,HDB,Geylang
2330000.0,1065.64,11,Freehold,HDB,River Valley
3650000.0,1485.43,21,Freehold,Private,Others
4900000.0,2034.4,11,Freehold,Private,Newton
2020000.0,1097.93,11,Freehold,Private,Bukit Timah
5726000.0,2529.54,10,Leasehold,Private,Southern Islands
1750000.0,1162.51,30,Leasehold,Private,Bukit Merah
1328000.0,678.13,4,Leasehold,Private,Toa Payoh
1720000.0,764.24,1,Leasehold,HDB,Bishan
2100000.0,1205.57,29,Leasehold,HDB,Bukit Merah
1295000.0,699.66,1,Leasehold,Private,Toa Payoh
4600000.0,3498.3,39,Freehold,Private,Queenstown
2235000.0,1011.82,29,Freehold,Private,Bukit Timah
2486000.0,1280.92,10,Leasehold,Private,Geylang
1720000.0,1076.4,10,Leasehold,HDB,Bukit Merah
2480000.0,1065.64,17,Freehold,Private,Bukit Timah
3215000.0,1646.89,25,Freehold,Private,Marine Parade
890000.0,495.14,1,Leasehold,Private,Toa Payoh
1360000.0,624.31,3,Leasehold,Private,Queenstown
2470000.0,1291.68,4,Leasehold,HDB,Kallang
1755000.0,904.18,19,Leasehold,Private,Bukit Merah
2095000.0,1216.33,12,Leasehold,Private,Bishan
3530000.0,1657.66,13,Freehold,Private,Marine Parade
1560000.0,688.9,6,Leasehold,HDB,Queenstown
800000.0,441.32,7,Leasehold,HDB,Kallang
2080000.0,904.18,5,Leasehold,Private,Bukit Merah
2130000.0,1205.57,16,Freehold,Private,Toa Payoh
1950000.0,1216.33,19,Leasehold,HDB,Kallang
1598000.0,764.24,1,Leasehold,Private,Bishan
1500000.0,796.54,26,Freehold,HDB,Tanglin
1570000.0,936.47,7,Leasehold,HDB,Kallang
2300000.0,1130.22,15,Freehold,Private,Marine Parade
1700000.0,731.95,7,Leasehold,Private,Bukit Merah
1880000.0,1259.39,31,Freehold,Private,Bishan
1395000.0,645.84,1,Leasehold,HDB,Bishan
1500000.0,871.88,2,Leasehold,HDB,Toa Payoh
